Description,ASIN,Product Description,Manufacturer
"Laptop Compatibility: Yes, Laptop size: 15.6 inches    Outer Material: Polyester, Color: Black    Water Resistance: Water resistant    Dimensions: 33 cms x 17.5 cms x 47 cms (LxWxH)    Warranty type: Manufacturer; 12 months warranty against manufacturing defects",B01LXNNFDF,Not Mentioned,Backpack International Pvt Ltd
"Made with strong and premium 450D Polyester    Max padded 15.4"" Laptop compartment    Cool and stylish looks    Unique front quick access mesh pockets    Large front pocket for extra convenience",B0BP1QM6W5,"Made with strong and premium 450D Polyester Max padded 15.4"" Laptop compartment Cool and stylish looks Unique front quick access mesh pockets Large front pocket for extra convenience Available in smart colors",Backpack International Pvt Ltd
"Grey Colour Backpack for Men for Stylish Office use as well as for Trendy College and School students. Huge compartment size that can fit upto a 15.6 inch Laptop with ease. Multiple pockets for other accessories and water bottle    Capacity: 25 liters; Weight: 500 grams; Dimensions: 30 cms x 20 cms x 42 cms (LxWxH)    The backpack features a sleek and ergonomic design with a balanced weight distribution through its straps. This makes this product a suitable alternative to bulky and unsightly backpacks. The compact design of this backpack helps you to rest it comfortably on your shoulders while accommodating all your essentials with ease.    USB Charging Point to Charge On the Go - With our attached charging dock, now charing on the go is easier than before. Important Note: We do not provide Free Portable Charger with the Bag    Warranty- 10 days No Question asked replacement guarantee from the date of delivery. 6 Month Manufacturer and Seller Warranty",B07J46KLFP,Not Mentioned,Fur Jaden
"Material: Polyester Fabric PVC Coated (outer), Shock Resistance EPE Layer (middle), Lining Layer (inner); Laptop Sleeve Dimensions: 16 x 1.2 x 11 inch (L × W × H); Charger Pouch Dimension: 8 x 2.1 x 4.3 inch (L × W × H); Sleeve Weight: 175 grams; Pouch Weight: 80 grams    Compatible: 16 inch Macbook and any other Laptops    Warranty: Manufacturer- 1-year domestic warranty    Water Resistance: Yes; Dustproof: Yes; Shock Resistance: Yes    Special feature: Number of the compartment - 1; Slim desgin; Easy to carry itself or Glid into your other backpack; Charger Pouch - carry charger and other small acessories with ease",B09GP79C4C,Not Mentioned,Unknown
"Capacity: 28 liters; Weight: 600 grams; Dimensions: 48 cms x 33 cms x 18 cms (LxWxH)    Concealed quick access Pockets on back panel; Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve    3 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric, Embedded Organizer, USB and Headphone cable slot    Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,3 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot    Special Features: Back Padding; Closure Type: Zipper; Pocket Description: Utility Pocket; Age Range Description: Adult; Water Resistance Level: Waterproof    Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,3 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .",B07G4D13L7,"Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.",Gear Merchandise PVT LTD
Ergonomically Designed : Spacious with Multiple Pockets : Intuitive Access : Lightweight : Easily Adjustable Shoulder Strap : Cushioned Grab Handle : Padded Base    3 External Zippered Pockets : 1 Mesh Stash Pocket    Outer material type: Polyester    Item Package Weight : 340.0 grams,B098FFTDKT,"The Cross Training Duffel from Gear is the optimum solution for an all-purpose duffel bag - whether its the gym, that weekend travel, the training field or the sports arena. Every Gear Bag is tested in real world conditions and crafted with user insights to achieve optimum functionality.",Gear Merchandise Pvt Ltd
"21L Capacity: The Backpack has a padded laptop compartment that can fit 15.2 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass. Dimension(L*W*D): 44*32*16 cm. Material : 100% Polyester. Lining : 100% Polyster    Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.    Secret/Hidden Pocket: An invisible zipper pocket on the edge of the back panel acts as a guard for any valuable items such as TWS/ Earbuds, Passport, Phone against theft.    Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.    Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.    Made In India: Mi Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks    6 Months Warranty: The MI Business casual backpack comes with 6 months of warranty. For queries please reach out to 18001036286",B0862V2GKH,Not Mentioned,Unknown
Faux Leather material    Green colored Hobo Handbag    Strap type : Single    Zip type closing mechanism.    Made in India,B097C2T2DS,Not Mentioned,Baggit India Pvt Ltd
"PERFECT SIZE & STORAGE SPACE: Laptop backpack with perfect size to hold things and your 15.6 inch laptop or 15 inch, 14 inch Laptop. Convenient main pockets for iPad, charger, binders, books, clothes, ect. Inside pockets keep your wallet, phone. school bag for girls / bags for women / kids school bag / college bags for boys / laptop backpack    Front two slanted pocket perfect for quick finds such as your ID for work, f gear laptop bags . keys for open door, two side pockets for water bottle and compact umbrella make your items organized. it can be use as school college bags for girls / backpack for men /backpacks for women . you can use it as a gift for men . bags for travelling    COMFY & STURDY: Made from WATER RESISTANT and DURABLE ECO-FRIENDLY nylon fabric with Two PADDED shoulder straps, relieve the stress of shoulder, simple but comfortable back design offer your great back support, making your working, journey and travelling more convenient wherever you go. you can use it such as office bag for men . office bag for women .    Light-weight Carrying and perfect for business traveling or trip, weekend getaways, back to school, outdoor activities and college bag for men etc;    MULTIPURPOSE & SIZE: 20 x 12.2 x 5.7 Inch, perfect to throw under your seat on an airplane when you are traveling or on business trip. Suitable for back to school college, can be easily stored. Good choose for a business laptop backpack, work backpack, laptop bag for men and women, also will be a good gifts for women, gifts for men, gifts for boyfriend or girlfriend and gift bag for travelers.",B08Y5S6C2P,Not Mentioned,Unknown
"Lavie Malnov tote is a stylish offering for ladies. It is durable, light weight and super spacious. Made from vegan leather, this large hand bag comes in Herringbone, Woven and Croco texture pattern at the front.    Herringbone Texture- 45 cm in length x 14 cm in width x 30 cm in height    Malnov hand bag has a top zip closure for safety and comfort. The interior has 2 slip pockets along with 1 zip pocket providing plenty of storage space for keeping phone, portable charger, keys, hairbrush, wallet, sunglasses, sanitizer and a pair of clothes.    This latest tote is perfect for women to carry for a weekend getaway or even a day at the mall for shopping. It can be paired with formal pants & blazer as well as with a basic crop top and jeans. This spacious and sturdy bag makes for a perfect gift for all your occasions.    The bag has a well stitched inner lining and high quality zippers for easy accessibility and storage.",B07PKHC72N,"Give a classy touch to your ensemble with this trendy tote by Lavie. Displaying a herringbone print, thin handles and an adjustable and detachable sling belt, this bag opens to a large compartment and multiple utility pockets with smooth sliding zippers.",Lavie
"PREMIUM MATERIAL: This multifunctional bag is made of quality Water Repellent polyester material in black color to protect your goods from water. For the inner lining, soft feel premium polyester is used. The hardware such as strengthened hooks, zippers and buckles used are wear resistant, smooth, and durable.     LARGE CAPACITY : Comes with 2 compartments with one separate cushioned laptop sleeve to hold 15. 6 inch Laptop. Additional front zipper pockets with an organiser to store magazine, pens, key,music, cosmetic, pen, charger, powerbank, cable etc. Side pockets for water bottles,umbrella. Back hidden anti theft pocket can hold your wallet,phone,etc     TROLLEY STRAP & CONVENIENCE : The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling. Comfortable airflow back ergonomics design with soft padding, gives you maximum back support. Breathable and adjustable shoulder straps relieve the stress of shoulder. Foam padded top handle for a long time carry on.     ONE YEAR WARRANTY: 1-year warranty on this bag against any manufacturing defects. Just keep your documents safe. Contact Red Lemon for any issues regarding the product and a resolution will be provided.; Lining texture: polyester     Pattern Name: Solid; Special Features: Laptop Compartment; Age Range Description: Adult",B0BGSV19KZ,Not Mentioned,
